,answers,district,month,query-type,questions,state
4825,"['RECOMMENDED TO SPRAY COPPER OXYCHLORIDE 40GM + STREPTOCYCLIN 2 GM + 15 LIT WATER', 'RECOMMENDED TO SPRAY CUPPER OXICHLORIDE 2.5 GM + STREPTOCYCLIN 1.5GM + 1 LIT WATER', 'RECOMMENDED TO SPRAY COPPER OXYCHLORIDE 40  GM + STREPTOCYCLINE  1.5 GM + 15 LIT WATER', 'RECOMMENDED TO SPRAY COPPER OXYCHLORIDE 40 GM + STREPTOCYCLINE  2 GM + 10 LIT WATER']",BALASORE,8,	Plant Protection	,brinjal plant wilting,ODISHA
4826,"['Spray imedachlorprid 17.8 SL (Admire, confidor 200 SC, 250 ml per hectare) 5-7 ml at 15 liter of water.', 'Spray imidacloprid 17.8 SL (Admire, confidor 200 SC, 250 ml per hectare) 5-7 ml at 15 liter of water.']",SAGAR,1,	Plant Protection	,control crop farmer how in information lantil needs pest regarding sucking to,MADHYA PRADESH
4827,['SPRAY SOLUBLE NPK  18:18:18 GRADE 10 GM/LTR WATER'],ALWAR,3,	Plant Protection	,groth guava in me no tell,RAJASTHAN
4828,"['Recommended for foliar application of NPK 19:19:19 water soluble fertilizer @ 100 gm/pump.', 'Recommended for to increase growth of black gram  foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.', 'Recommended for foliar application of NPK 0:52:34 water soluble fertilizer @ 100 gm/pump.', 'Recommended for to increase growth of BLACK GRAM foliar application of IFFCO 0:52:34 water soluble fertilizer @ 100 gm/pump.', 'Recommended for foliar application of npk 19:19:19 water soluble fertilizer @ 100 gm/pump.']",SAGAR,8,Cultural Practices,about black farmer gram growth how increase information know of to to wants,MADHYA PRADESH
4829,"['Varieties\r\n\r\n    Basal dose : FYM 25 t/ha, NPK 50:50:30 kg/ ha.\r\n\r\n    Top dressing : 50 kg N/ha on 30th day of planting or during earthing up.', 'APPLY DAP @ 25KG + MOP @ 17KG /ACRE AS FERTILIZER IN BRINJAL']",SAGAR,7,Fertilizer Use and Availability,brinjal fertilizer in,MADHYA PRADESH
4830,['SPRAY OF CARBENDAZIM 12% + MANCOZEB 63% WP 2 GM PER LITER WATER'],ALWAR,5,	Plant Protection	,blait control diease in leaf me tell tomato,RAJASTHAN
4831,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],BARMER,5,Fertilizer Use and Availability,control dropping flower me of papaya tell,RAJASTHAN
4832,['Please contact 7582-223561 numbers.'],SAGAR,9,Dairy Production,about animal farmer govt information know mp of purchesing schemes to want,MADHYA PRADESH
4833,"['SPRAY IMIDACHLOPRID 1ML/3LITRES OF WATER', 'SPRAY ROGOR 400ML/ACRE', 'SPRAY ROGOR 2ML/1LITRE OF WATER']",CUTTACK,1,	Plant Protection	,aphids,ODISHA
4834,['VARIITES OF LEMON-PARMALINI'],ALWAR,5,Seeds and Planting Material,lemon me of tell variites,RAJASTHAN
4835,"['FERTILIZER IN LEMON OF 5 YRS. FYM= 20 KG, UREA= 100 GM, DAP= 100 GM, MOP= 100 GM PER PLANT', '?\r\nFERTILIZER IN LEMON OF 5 YRS. FYM= 20 KG, UREA= 100 GM, DAP= 100 GM, MOP= 100 GM PER PLANT']",BARMER,9,Cultural Practices,5 fertilizer in lemon of yrs,RAJASTHAN
4836,['Recommended for foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.'],SAGAR,2,Nutrient Management,bottel farmer gourd growth how increase information needs of regarding to,MADHYA PRADESH
4837,['Recommended for Spray Profenofos 40% + Cypermethrin 4% EC @1000 Ml. / hac. Rate of spray. |'],SAGAR,8,	Plant Protection	,about aphid control crop farmer how information know of to to urd want,MADHYA PRADESH
4838,['SPRAY OF GLYPHOSATE 2.5 GM PER LITER WATER FOR CONTROL OF DOOB GRASS IN CROP FREE FIELD'],ALWAR,8,	Field Preparation	,control crop doob field free grass in in me tell weed,RAJASTHAN
4839,['Onion\t160\tTonnes\t\tLocal\tFAQ\t700\t900\t800\tRs/Quintal'],DAMOH,7,Market Information,about allahbad farmer in information know mandi mandi of onion rate to want,MADHYA PRADESH
4840,['SPRAY OF PENDIMETHILIN 30% EC 2.5-3 LITER PER HA AFTER SOWING BUT BEFORE GERMINATION'],AJMER,8,	Plant Protection	,control gvava in me tell weed,RAJASTHAN
4841,['APPLY N @ 10 KG + P @ 25 KG + K @ 12 KG / ACRE AS BASAL'],BALASORE,2,Cultural Practices	,in management moong nutrient,ODISHA
4842,"['rohu , katla, mrugal']",THANE,1,Breeding and culture of ornamental fish,breed fish of,MAHARASHTRA
4843,['DRENCHING OF CARBENDAZIM 250 GM/BIGHA IN ROOT ZONE WITH IRRIGATION'],BARMER,8,	Plant Protection	,black cotntol in me rot tell,RAJASTHAN
4844,"['to control sucking pest in hibiscus flower  Spray imedachlorprid 17.8 SL (Admire, confidor 200 SC, 250 ml per hectare) 5-7 ml at 15 liter of water.']",SAGAR,4,	Plant Protection	,control crop farmer flower hibiscus how in information needs pest regarding sucking to,MADHYA PRADESH
4845,['DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION'],BARMER,2,	Plant Protection	,control cumin in me of root rot tell,RAJASTHAN
4846,"['variety of cauliflower : PUSA DIPALI, PUSA AGETI, PUSA KATKI,PANT SHUBRA noval seed-juli,']",SAGAR,4,Seeds and Planting Material,about cauliflower farmer information know of to variety want,MADHYA PRADESH
4847,['DRENCHING OF CARBENDAZIM 250 GM/BIGHA IN ROOT ZONE WITH IRRIGATION'],BARMER,1,	Plant Protection	,control disease in isbagol me root tell,RAJASTHAN
4848,['Ans:- recommended for foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.'],JABALPUR,1,	Plant Protection	,about farmer growth how increase information know of pea to to want,MADHYA PRADESH
4849,"['Crop name bengal gram  - Minimum Price(Rs-5000 /Quintal) ,  Maximum Price(Rs-5300/Quintal)-, Modal Price(Rs-5200/Quintal', 'Crop name bengal gram - Minimum Price(Rs-4800 /Quintal) ,  Maximum Price(Rs-5200 /Quintal)-, Modal Price (Rs -5100 /Quintal', 'Crop name bengal gram  - Minimum Price(Rs-4300/Quintal) ,  Maximum Price(Rs-5040 /Quintal)-, Modal Price (Rs -4850  /Quintal']",SAGAR,3,Market Information,about bengal crop farmer gram in information know mandi market of rate sagar to want,MADHYA PRADESH
4850,['FERTILIZER DOSE FOR MANGO = BOOM FLOWER 20 ML +00:52:34 60 GM/15 LITER WATER'],RAIGARH,5,Fertilizer Use and Availability,dose fertilizer for mango,MAHARASHTRA
4851,['SPRAY OF MENCOZEB 2 GM PER LITER WATER'],AJMER,1,	Plant Protection	,control cumin in me tell wilt,RAJASTHAN
4852,"[""recommended for varieties of nonirrigated wheat J.. W..'s. - 17, Sujata H. w. 2004 HIV 1500 MP 3020, C-306,HD-4672, HIV 8627 are the popular varieties under cultivation""]",SAGAR,9,Varieties,about farmer information know nonirrigated of to varieties want wheat,MADHYA PRADESH
4853,['ALWAR  ARHAR (LOCAL) 3400 RS/QT'],ALWAR,1,Market Information,about arhar mandi me of rate tell,RAJASTHAN
4854,['BIKANER (GRAIN)\tGRAM\t5426'],BARMER,4,Government Schemes,gram in marketrate me tell,RAJASTHAN
4855,"['Per Hactare No. of Plants and Subsidies Amount Details\r\nArea(in Hactare)1.0,No. of Plants 523,Amount of 60145 Plants(in Rs.),Subsidies Amount(in Rs.)44625,\tFarmer\xe2\x80\x99s Amount(in Rs.)15520']",BARMER,9,Cultural Practices,cultivation me olive subsidy tell,RAJASTHAN
4856,['RECOMMENDED TO SPRAY COPPER OXICHLORIDE 30 GM + STREPTOCYCLIN 1.5 GM/10 LIT WATER FOR CONTROL OF WILTING DISEASES IN BITTER GOURD'],BALANGIR,5,	Plant Protection	,bitter diseases gourd in wilting,ODISHA
4857,['Farmer brother has been registering the message related to the crop at your mobile number.'],DAMOH,5,Government Schemes,advisory crop facility farmer his in mobile number sms to want,MADHYA PRADESH
4858,['CONTACT NO. OF ANIMAL  FARM= 1800 180 6224'],ALWAR,3,Animal Breeding,animal contact farm me no of tell,RAJASTHAN
4859,['Spray of CHLOROPYRIFOS 20% EC 30 ml /16 litre of water'],JABALPUR,8,	Plant Protection	,about control crop farmer grasshopper how in information know paddy to to want,MADHYA PRADESH
4860,"['MANDI RATE OF GWAR IN BARMER MANDI 3590 RS/QT', 'MANDI RATE OF GWAR IN BARMER MANDI 3160 RS/QT', 'MANDI RATE OF BAJRA IN BARMER  MANDI 1375 RS/QT', 'MANDI RATE OF GWAR IN DORIMNA MANDI 3350 RS/QT', 'MANDI RATE OF GWAR IN BARMER MANDI 3400 RS/QT', 'MANDI RATE OF GWAR IN JODHPUR MANDI 3750 RS/QT', 'MANDI RATE OF MOTH BEAN IN JODHPUR MANDI 2505 RS/QT', 'MANDI RATE OF CUMIN IN NAGAUR MANDI RS/QT', 'MANDI RATE OF PEARL MILLET IN JODHPUR MANDI 1225 RS/QT', 'MANDI RATE OF GWAR IN BARMER MANDI RS/QT', 'MANDI RATE OF TOMATO IN JODHPUR MANDI 1500 RS/QT', 'MANDI RATE OF MUSTARD IN BARMER MANDI 3700 RS/QT', 'MANDI RATE OF CUMIN IN BARMER MANDI 15750  RS/QT', 'MANDI RATE OF CUMIN IN JODHPUR MANDI 15550 RS/QT', 'MANDI RATE OF JIRA IN JODHPUR MANDI 16114RS/QT', 'MANDI RATE OF GWAR IN BARMER MANDI 3453 RS/QT', 'MANDI RATE OF WHEAT IN BARMER MANDI 1620 RS/QT', 'MANDI RATE OF CUMIN IN JODHPUR MANDI 16450 RS/QT', 'MANDI RATE OF CUMIN IN BARMER MANDI 13500 RS/QT', 'MANDI RATE OF CUMIN IN JALOR MANDI 13700 RS/QT', 'MANDI RATE OF MOTHH BEAN IN BARMER MANDI 3450 RS/QT', 'MANDI RATE OF CUMIN IN BARMER MANDI ""15450 RS/QT', 'MANDI RATE OF CUMIN IN NAGAUR MADNI 18200 RS/QT', 'MANDI RATE OF CUMIN IN BARMER MANDI 15500 RS/QT', 'MANDI RATE OF CUMIN IN BARMER MANDI 15835 RS/QT', 'MANDI RATE OF GRAM IN MOHANGRAH MANDI 5300 RS/QT', 'MANDI RATE OF CUMIN IN JODHPUR MANDI 16750 RS/QT', 'MANDI RATE OF GREEN GRAM IN JODHPUR MANDI 4250 RS/QT', 'MANDI RATE OF CUMIN IN BARMER MAND 16000 RS/QT', 'MANDI RATE OF MUSTARD IN DAUSA MANDI 3248 RS/QT', 'MANDI RATE OF GWAR IN JODHPUR MANDI 2964 RS/QT', 'MANDI RATE OF LENTIL IN KOTA MANDI 4340 RS/QT', 'MANDI RATE OF GRAM IN JODHPUR MANDI 5320 RS/QT', 'MANDI RATE OF MOTHH BEAN IN JODHPUR MANDI 4350 RS/QT', 'MANDI RATE OF MUSTARD IN BARMER MANDI 3450 RS/QT', 'MANDI RATE OF CUMIN IN BARMER MANDI 14500 RS/QT', 'MANDI RATE OF CUMIN IN BIKANER MANDI 16650 RS/QT', 'MANDI RATE OF GRAM IN KEKRI MANDI  5271 RS/QT', 'MANDI RATE OF MUSTARD IN ALWAR MANDI 3500 RS/QT', 'MANDI RATE OF ONION IN ALWAR MANDI ""800 RS/QT', 'MANDI RATE OF GWAR IN BARMER MANDI 3450 RS/QT', 'MANDI RATE OF GREEN GRAM IN BIAKANER MANDI 3406 RS/QT', 'MANDI RATE OF GRAM IN BIKANER MANDI 4300 RS/QT', 'MANDI RATE OF GRAM IN BIKANER MANDI 4400 RS/QT', 'MANDI RATE OF CUMIN IN NAGAUR MANDI 15500 RS/QT', 'MANDI RATE OF GREEN GRAM IN BARMER MANDI 4250 RS/QT', 'MANDI RATE OF MUSTARD IN BARMER MANDI 3262 RS/QT', 'MANDI RATE OF GRAM IN ALWAR MANDI 4870 RS/QT', 'MANDI RATE OF MOTHH IN BARMER MANDI 3410 RS/QT', 'MANDI RATE OF CUMIN IN BARMER MANDI 15700  RS/QT', 'MANDI RATE OF CUMIN IN JODHPUR MANDI 1600 RS/QT', 'MANDI RATE OF CUMIN IN BARMER MANDI 15700 RS/QT', 'MANDI RATE OF ISBGOL IN JODHPUR MANDI 10555 RS/QT', 'MANDI RATE OF CUMIN IN JODHPUR MANDI 16625 RS/QT', 'MANDI RATE OF MUSTARD IN ALWAR MANDI 3600 RS/QT', 'MANDI RATE OF GRAM IN JODHPUR MANDI 5100 RS/QT', 'MANDI RATE OF GREEN GRAM IN AJMER MANDI 4550 RS/QT']",BARMER,8,Market Information,information marketing me tell,RAJASTHAN
4861,['mushroom cultivation in octomber'],ALWAR,6,Seeds,about cultivation me mushroom tell,RAJASTHAN
4862,"['gram, jabalpur, 03/04/2017\r\nMinimum Rs 5100\t/Quintal, Maximum Rs6035/Quintal, Modal price Rs5600/Quintal', 'gram, jabalpur , 03/04/2017\r\nMinimum Rs5100\t/Quintal, Maximum Rs/Quintal, Modal price Rs5600/Quintal']",JABALPUR,4,Market Information,crop farmer gram information jabalpur mandi market needs of rate regarding,MADHYA PRADESH
4863,['CONTACT CIVIL SUPPLY INSPECTOR OF YOUR BLOCK'],CUTTACK,2,Government Schemes,mandi regarding,ODISHA
4864,['RECOMMENDED TO SPRAY SPINOSAD 5ML / 15 LIT WATER AFTER CUTTING DOWN THE AFFECTED FRUIT'],CUTTACK,1,	Plant Protection	,borer fruit in tomato,ODISHA
4865,['9414079700'],BANSWARA,8,Government Schemes,contact house me number of poli tell,RAJASTHAN
4866,"['Bengal Gram(Gram)\t147\tTonnes\tOther\t4600\t5400\t5000\tRs/Quintal', 'recommended for  market information of GRAM for SAGAR  minimum-4500 maximum-5200 average-4900 Rs/Quintal', 'Bengal Gram(Gram)\t191.6\tTonnes\tDesi (Whole)\t4700\t5125\t5000\tRs/Quintal', 'recommended for  market information of gram for sagar  minimum-5000 maximum-5400 average-5200 Rs/Quintal', 'Bengal Gram(Gram)\t78.2\tTonnes\tDesi (Whole)\t4600\t4795\t4700\tRs/Quintal', 'recommended for  market information of garm for damoh minimum-4110 maximum-4465 average-4390 Rs/Quintal', 'Green Gram (Moong)\t10\tTonnes\tGreen (Whole)\t3400\t4300\t4100\tRs/Quintal', 'recommended for  market information of gram for sagar  minimum-4110 maximum-5235 average-5160 Rs/Quintal', 'Bengal Gram(Gram)\t7.63\tTonnes\tOther\t4546\t4740\t4655\tRs/Quintal', 'Bengal Gram(Gram)\t93.1\tTonnes\tDesi (Whole)\t4401\t5601\t5300\tRs/Quintal', 'Bengal Gram(Gram)\t163\tTonnes\tOther\t5000\t5400\t5200\tRs/Quintal', 'recommended for  market information of GRAM for DAMOH minimum-5100 maximum-5300 average-5200 Rs/Quintal', 'Bengal Gram(Gram)\t25.5\tTonnes\tOther\t5350\t8800\t6800\tRs/Quintal\r\nLentil(Masur)\t45.5\tTonnes\tOther\t3250\t3875\t3750\tRs/Quintal', 'Javera\tArhar (Tur/Red Gram)\t1.2\tTonnes\tNR\tArhar (Whole)\tFAQ\t3400\t4625\t4625\tRs/Quintal\r\n\tBengal Gram(Gram)\t21.5\tTonnes\t\tDesi (Whole)\tFAQ\t4800\t5000\t4900\tRs/Quintal', 'recommended for  market information of GRAM for DAMOH  minimum-4600 maximum-5200 average-4900 Rs/Quintal', 'recommended for  market information of gram for damoh minimum-4600 maximum-5200 average-4900 Rs/Quintal', 'Bengal Gram(Gram)\t53.5\tTonnes\tBengal Gram (Split)\t4999\t6100\t5690\tRs/Quintal', 'Javera\tBengal Gram(Gram)\t24.7\tTonnes\tNR\tDesi (Whole)\tFAQ\t5300\t5500\t5400\tRs/Quintal', 'recommended for  market information of gram for katni  minimum-4850 maximum-5550 average-5300 Rs/Quintal', 'Bengal Gram(Gram)\t19.5\tTonnes\tOther\t4805\t5025\t4900\tRs/Quintal', 'Bengal Gram(Gram)\t131\tTonnes\tDesi (Whole)\t5000\t5635\t5300\tRs/Quintal', 'Kabuli Chana(Chickpeas-White)\t111.1\tTonnes\tKabuli Chana(Chickpeas-white)\t5400\t5931\t5791\tRs/Quintal', 'recommended for  market information of gram for sagar  minimum-4700 maximum-5250 average-5100 Rs/Quintal', 'recommended for  market information of GRAM for JABALPUR 10.9 Tones  minimum-4350 maximum-4685 average-4400 Rs/Quintal', 'Bengal Gram(Gram)\t59.7\tTonnes\tDesi (Whole)\t4650\t5000\t4775\tRs/Quintal']",DAMOH,3,Market Information,about farmer gram information information know market of to wants,MADHYA PRADESH
4867,['MARCH TO OCTOBER -SEASON OF PADDY STRAW MUSHROOM'],CUTTACK,4,Cultural Practices,mushroom of paddy season straw,ODISHA
4868,['DEEG 6-9 INCH DEEP `V` SHAPE PIT AND TACKING 500 GM SOIL SAMPLE FOR TESTING SOIL'],BARMER,4,Soil Testing,collect how me sample soil tell to,RAJASTHAN
4869,['Madhya Pradesh \tPatharia \tPulses \tBlack Gram Dal \tFAQ \t4700 \t5100 \t4900 \t11 Feb 2017'],DAMOH,2,Market Information,crop farmer information information market needs of regarding urd,MADHYA PRADESH
4870,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],AJMER,4,	Plant Protection	,control me of pest rajka tell,RAJASTHAN
4871,['APPLICATION OF 00 52 34 2.5 KG /ACRE THROUGH DRIP'],THANE,1,	Plant Protection	,about asked cucumber drip farmer fertilizers for,MAHARASHTRA
4872,['SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER'],ALWAR,6,	Plant Protection	,chillies curl leaf me of tell,RAJASTHAN
4873,['SPRAY OF COPPER OXICHLORIDE 45 GM + STREPTOCYCLIN 1.5 GM PER 15 LITER WATER'],ALWAR,5,	Plant Protection	,bacterial blight control disease guava in me of tell,RAJASTHAN
4874,['ZINK SULPHATE 5 KILO /PAR BIGHA'],ALWAR,1,	Plant Protection	,dos fertilizer in me tell wheat,RAJASTHAN
4875,"['SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER', 'SPRAY OF DIFENACONAZOLE 0.5 ML PER LITER WATER', 'DRENCHING OF CARBENDAZIM 2 GM PER LITER']",AJMER,2,	Plant Protection	,control disease gram in me tell,RAJASTHAN
4876,"['VARIETY OF BOTTLE GOURD = PUSA SAMAR PROFILIC LONG, PUSA SAMAR PROFILIC ROUND, PUSA NAVEEN, PUSA SANDESH', 'VARIETY OF BOTTLE GOURD --PUSA NABEEN,PUSA MANJARI,GOURI', 'VARIETY OF BOTTLE GOURD--PUSA MANAJRI,PUSA MEKHADUTA,PUSA NABEEN']",ALWAR,2,Seeds and Planting Material,bottle gourd of variety,RAJASTHAN
4877,"['VARIETY OF FODDER BAJRA= RAJCO,L- 72, L- 74, K- 599, RAJ BAJRA CHARI, JOINT BAJRA']",BANSWARA,1,Seeds,bajra fodder me of tell,RAJASTHAN
4878,"['mustard, pathria, 08/03/2017\r\nMinimum 3500 Rs/Quintal, Maximum 3700 Rs/Quintal, Modal price 3600 Rs/Quintal']",DAMOH,3,Market Information,farmer information mandi market mustard needs of rate regarding,MADHYA PRADESH
4879,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],BARMER,5,	Plant Protection	,control in insect long me melon tell,RAJASTHAN
4880,['DEEG 6-9 INCH DEEP `V` SHAPE PIT AND TACKING 500 GM SOIL SAMPLE FOR TESTING SOIL'],BARMER,6,Weather,me program soil tell testing,RAJASTHAN
4881,['Recommended for before germination use pendimethilin 1 kg at 500 liter of water per hactayer'],JABALPUR,9,Weed Management,about control crop farmer how in know pea to to wants weeds,MADHYA PRADESH
4882,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],BARMER,2,Agriculture Mechanization,about cpontrol insect me tell,RAJASTHAN
4883,['SPRAY OF COPPER OXICHLORIDE 45 GM + STREPTOCYCLIN 2 GM PER 15 LITER WATER'],ALWAR,7,	Plant Protection	,bacterial blight control cottan disease in me of tell,RAJASTHAN
4884,['SPRAY OF RIDOMIL MZ(METALEXYL+MENCOZEB) 2 GM PER LITER WATER'],AJMER,5,	Plant Protection	,bottle control disease gourd me of tell,RAJASTHAN
4885,['USE Sucking pests CONTROL IN LAB LAB\r\n Sucking pests can be controlled by spraying Malathion 50 EC 1 ml/lit or Dimethoate 30 EC 1 ml/lit'],ALWAR,7,	Plant Protection	,control in lab lab me pest sucking tell,RAJASTHAN
4886,['SPRAY OF PLANOFIX 1 ML/4LITRE'],ALWAR,1,	Plant Protection	,anar control flower ion me tell,RAJASTHAN
4887,"['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER', 'SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER', 'SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER', 'SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER', 'SPRAY OF TRIZOPHOS 40% EC 2 ML PER LITER WATER', 'SPRAY OF THIOMETHOXAM 25% WG 0.5 GM  PER LITER WATER', 'USE  Fipronil 0.3% GR 12-15 KG PER HA', 'SPRAY OF MALATHIAN 50% EC 2 ML PER LITER WATER']",ALWAR,2,	Plant Protection	,control guar in insect me tell,RAJASTHAN
4888,['SPRAY OF ACEPHATE + MENCOZEB 2GM/LITRE'],ALWAR,7,	Plant Protection	,borer chillies control fruit in me tell,RAJASTHAN
4889,"['Ans:- Recommended for foliar application of IFFCO N:P:K , 0:52:34 water soluble fertilizer @ 100 gm/pump.']",SAGAR,9,Fertilizer Use and Availability,about farmer growth how increase information of of soybean to to want,MADHYA PRADESH
4890,['RECOMMENDED TO SPRAY CHLOROPYRIPHOUS  DUST 10 KG ACRE GIVEN FOR CONTROL OF RHINOCEROSE BEETLE IN COCONUT'],CUTTACK,8,	Plant Protection	,beetle coconut in rhinocerose,ODISHA
4891,['YOU CAN NOT USE HERBICIDE IN STANDING CROP OF MUSTARD'],ALWAR,1,Weed Management,about control crop in me mustard of stending tell weed,RAJASTHAN
4892,"['SPRAY OF PROFENOFOS + CYPERMETHRIN 1.5 ML PER LITER WATER', 'SPRAY OF THIOMETHOXAM 25% WG 0.5 GM  PER LITER WATER']",BARMER,8,	Plant Protection	,control gram green in insect me tell,RAJASTHAN
4893,"['FYM-30 KG,SSP-300 GM,UTRA-100 ,MICRONUTRIENT-150 GM/PLANT']",ALWAR,5,Fertilizer Use and Availability,growth in jamun me tell,RAJASTHAN
4894,['SPRAY OF PROFENOFOS 1.5 ML PER LITER WATER'],ALWAR,4,	Plant Protection	,bhindi borer controle in me tell,RAJASTHAN
4895,['SPRAY IMIDACHLORPRID @ 5ML/15LIT WATER FOR YVMV IN CUCUMBER'],BALASORE,1,	Plant Protection	,cucumber in yvmv,ODISHA
4896,['RECOMMENDED TO SPRAY CHLORPYRIFOS 2.5 ML/ 1 LIT WATER'],CUTTACK,4,	Plant Protection	,catterpillar in okra,ODISHA
4897,"['Crop name wheat - Minimum Price(Rs-1515 /Quintal) ,  Maximum Price(Rs-1540 /Quintal)-, Modal Price (Rs -1525  /Quintal']",DAMOH,3,Market Information,about crop domoh farmer in information know mandi market of rate to want wheat,MADHYA PRADESH
4898,['FARVARI MONTH'],ALWAR,2,	Plant Protection	,me of sowing tell time tomato,RAJASTHAN
4899,['SPRAY OF BOREX 4 GM PER LITER WATER'],ALWAR,1,Fertilizer Use and Availability,fruit in me necosic tell,RAJASTHAN
4900,['SPRAY OF CARBENDAZIM 12% + MANCOZEB 63% WP 2 GM PER LITER WATER'],ALWAR,9,	Plant Protection	,brangal control diease in me tell,RAJASTHAN
4901,['Recommended for weed management in SOYBEAN spray Imazethapyr 10% SL @250-300 ml/acer as post emergense.'],DAMOH,7,Weed Management,about crop farmer in information know management soybean to wants weed,MADHYA PRADESH
4902,"['SPRAY OF MONOCROTOPHOS 36% SL 2 ML PER LITER WATER', 'SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER', 'USE  Fipronil 0.3% GR 12-15 KG PER HA', 'SPRAY OF PROFENOFOS 1.5 ML PER LITER WATER', 'SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER', 'SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER', 'SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER']",BARMER,2,	Plant Protection	,control in insect me tell wheat,RAJASTHAN
4903,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],BARMER,4,	Plant Protection	,anola control droping flower me of tell,RAJASTHAN
4904,"['Spray Score  8 ml/15 Liter of Water(Difenconyazol 25%EC)-Syngenta', 'Spray Redomil Gold 30 gm/15 Liter of Water(Mephonaxon+Mancozeb)-Syngenta']",THANE,1,	Plant Protection	,blight or wilt,MAHARASHTRA
4905,['Recommended for Mancozeb 63% + Carbendazim 12% WP 40 gram and steptrocyclin 2 gram at 15 liter of water.'],SAGAR,6,	Plant Protection	,attack control crop fungal groundnut how in of to,MADHYA PRADESH
4906,"['SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER', 'SPRAY OF CARBENDAZIM 12% + MANCOZEB 63% WP 2 GM PER LITER WATER']",ALWAR,1,	Plant Protection	,control disease in me potato tell,RAJASTHAN
4907,['Recommended for foliar application of NPK 19:19:19 water soluble fertilizer @ 100 gm/pump.'],JABALPUR,8,Cultural Practices,about farmer growth how increase information jabalpur know of to to wants,MADHYA PRADESH
4908,['SPRAY OF MONOCROTOPHOS 36% SL 2 ML PER LITER WATER'],ALWAR,9,	Plant Protection	,about control in insect lemon me tell,RAJASTHAN
4909,"['recommended for  seed treatment of urd treat the seed with thiram or captan or mancozab or monosan @2-2.5gram/kg of  seed.', 'Recommended for   seed treatment of urd treat the seed with tricoderma viridi 5gm/kg of seed or thiram 3gm/kg of seed']",SAGAR,6,Seeds,about farmer information know of seed to treatment urd wants,MADHYA PRADESH
4910,['SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER'],AJMER,9,	Plant Protection	,catterpillar control in me of rose tell,RAJASTHAN
4911,['SPRAY OF BOREX 4 GM PER LITER WATER'],ALWAR,3,Nutrient Management,control cricking fuirt in me of pomegranate tell,RAJASTHAN
4912,['SPRAY OF MULTIPLAX (MICRONUTRIENT) 4 ML PER LITER WATER'],ALWAR,4,	Plant Protection	,in management me micro nutrient pumpkin tell,RAJASTHAN
4913,"['Khadi & Village Industries Commission Bhubaneswar\r\nAddress: Jagamara - Sundarpada Rd, Gandamunda, Pokhariput, Bhubaneswar, Odisha 751020\r\nPhone: 097785 65650']",BALASORE,5,Government Schemes,bhubaneswar commission industries khadi village,ODISHA
4914,"['KANCHANA,VNR-P-7,ARKA CHANDAN -PUMPKIN VARIETIES']",DHENKANAL,1,Seeds and Planting Material,pumpkin varieties,ODISHA
4915,['SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER'],ALWAR,2,	Plant Protection	,bcontrol in insect me tell tomato,RAJASTHAN
4916,['SPRAY METALAXYL + MANCOZEB (TATA MASTER) @ 40GM/15LIT WATER FOR LEAF RUST IN GREEN GRAM'],BALASORE,3,	Plant Protection	,gram green in leaf rust,ODISHA
4917,"['JODHPUR (GRAIN)  ISABGOLE 10400 RS/QT', 'JODHPUR (GRAIN)  ISABGOLE 11000 RS.QT', 'JODHPUR (GRAIN)\tISABGOLE\t10350RS/QT', 'JODHPUR (GRAIN)  ISABGOLE 10150 RS/QT']",BARMER,4,Market Information,in isbgol market me rate tell,RAJASTHAN
4918,['SPRAY OF FERUS SULPHATE 5 GM + CITRIC ACID 1 GM PER LITER WATER'],ALWAR,7,	Plant Protection	,control me mosaic of tell yellow,RAJASTHAN
