,answers,district,month,query-type,questions,state
3520,['SPRAY OF COC 3 GM/LITRE'],ALWAR,2,	Plant Protection	,control fruitcrecking in lemon me tell,RAJASTHAN
3521,['recommended for to control nematodes wheat crop spray nemagone 30ml/pump'],JABALPUR,2,Cultural Practices	,about control crop farmer how in information know nematodes to to want wheat,MADHYA PRADESH
3522,"['Recommended to apply Urea 4kg + DAP 35kg + MoP 10kg per acre as basal dose of fertilizer for Paddy', 'Recommended to apply 4kg Urea + 35kg DAP + 10kg MoP per acre as basal dose of fertilizer for Paddy']",BALANGIR,8,Fertilizer Use and Availability,basal dose fertilizer for of paddy,ODISHA
3523,['SPRAY SOLUBLE NPK  18:18:18 GRADE 10 GM/LTR WATER'],ALWAR,1,	Plant Protection	,groth in me no tell wheat,RAJASTHAN
3524,"['FERTILIZER IN LEMON OF 5 YRS. FYM= 20 KG, UREA= 100 GM, DAP= 100 GM, MOP= 100 GM PER PLANT']",AJMER,9,Nutrient Management,5 fertiliser in lemon me plats tell year,RAJASTHAN
3525,['Advised to arrange seed sowing certificate from RI or VLW for online Crop insurance for Kharif Paddy under PMFBY'],BALANGIR,7,Crop Insurance,crop for insurance kharif paddy pmfby under,ODISHA
3526,['SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER'],ALWAR,2,	Plant Protection	,chilly control in me of pest sucking tell,RAJASTHAN
3527,['Dr. R.N. Lamrod\r\n\r\nAsst. Dir. (HQ)\r\n\r\n9461478485'],BARMER,5,Deep Sea Fishing and Processing,contact department fishries in me number tell,RAJASTHAN
3528,['??????????? + ????? [?????????  ???? ](??????) ?? ??? 02 ????? /???? ??? ??? ??? ??????? 80 %WDG.@02 ????? /???? ??? /???? ??? ??? ???? ??? ??????? ??? ????????? ?????????? (????????????? 20 % ???. ??  ????????????? 70 % ?????????. 3 ?????/????? ?????) ???? ??? ????????? ????? 5 ????? /???? ??? ?? ?? ??????? ???? ??? ???? ???? ?? |?? ???? ?? ????? ?? ???? ???? ???? |'],DAMOH,6,	Plant Protection	,about farmer information know of seed to treatment urdbean want,MADHYA PRADESH
3529,['SPRAY OF MULTIPLAX (MICRONUTRIENT) 4 ML PER LITER WATER'],ALWAR,5,Nutrient Management,in management me micro nutrient okra tell,RAJASTHAN
3530,"['75 % SUBCIDICE ON SOLAR ENERGY', '75 %  SUBCIDICE ON SOLAR ENERGY', '60 %  SUBCIDICE ON SOLAR ENERGY']",BARMER,5,Government Schemes,energy me on solar subcidice tell,RAJASTHAN
3531,['Recommended for to control of fungal attack use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water'],DAMOH,3,	Plant Protection	,about attack control crop farmer funal fungal how in know to to wants,MADHYA PRADESH
3532,['SPRAY OF IMIZATHYPER 10% SL 400 GM PER HA IN DISSOLVE 400 LITER WATER AFETR 15-20 DAYS OF SOWING'],ALWAR,6,Weed Management,imizathyper me of spray tell,RAJASTHAN
3533,"['USE IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER IN ROOT ZONE', 'SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER']",BARMER,1,	Plant Protection	,about citrus control in me tell termite,RAJASTHAN
3534,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],AJMER,3,	Plant Protection	,fruit in karonda me no tell,RAJASTHAN
3535,"['Bramhastra-  10 liter cow urin, 3 kg neem leaf, 2 kg pongamia leaf, k kg  custerd apple leaf, 2 kg bel leaf, 2 kg castor leaf and 2 kg dhatura leaf\r\nRecipes:- none of these five ingredients to mix all the ingredients in urine boiled in a clay pot put on the fire when approaching the four-boiled 48 hours in shade to cool off from the fire. Then cloth to filter storage.\r\nDuration of use: Use -bramhastra six months now.\r\nNote: Please storage in a clay pot. Urine do not keep metal utensils.\r\nSpraying: One acre 3 to 4 liters to 100 liters of water mixed spraying Brahmastra.']",SAGAR,1,	Plant Protection	,control crop farmer in information lentil measures needs of pest regarding,MADHYA PRADESH
3536,['recommended for spray to bio zayam 30 mili/pump.'],SAGAR,4,Fertilizer Use and Availability,crop farmer how improve know moong to to want,MADHYA PRADESH
3537,"['Deep water Paddy varieties : Barshadhan, , Jalamani, CR-Dhan- 500 and CR-Dhan- 505(160-165days duration)']",BALASORE,5,Seeds,deep paddy varieties water,ODISHA
3538,"['JODHPUR (GRAIN)\tWHEAT MAXICAN\t1650 RU / Q', 'JAIPUR (GRAIN)\tWHEAT MAXICAN\t2025\tRU / Q']",BARMER,2,Market Information,in informetion market me tell wheat,RAJASTHAN
3539,"['RECOMMENDED TO SPRAY RIDOMIL GOLD @ 2.5 GRAM / 1 LIT OF WATER', 'RECOMMENDED TO SPRAY COPPER OXYCHLORIDE @ 2.5 GM  / 1 LIT WATER']",BALASORE,2,	Plant Protection	,fruit in jack rhizopus rot,ODISHA
3540,['Shri Brajesh Kumar\r\n\r\nF.D.O.\r\n\r\nAlwar\r\n\r\n9833716634\r\n\r\n0144-2330209'],ALWAR,6,Breeding and culture of ornamental fish,contact department fish in me number tell,RAJASTHAN
3541,"['soybean,Sagar, 16/09/2017\r\nMinimum Rs 2600\t/Quintal, Maximum Rs 2940/Quintal, Modal price Rs 2875/Quintal']",SAGAR,9,Market Information,crop farmer information mandi market needs of rate regarding sagar soybean,MADHYA PRADESH
3542,['SPRAY OF ATRAZINE 2.5 GM PER LITER WATER AFTER SOWING BUT BEFORE GERMINATION'],ALWAR,5,Weed Management,about in management me millet pearl tell weed,RAJASTHAN
3543,"['MINIMUM 300Rs./Quintal, MAXIMUM 500Rs./Quintal, modal 400\tRs./Quintal', 'MINIMUM 300Rs./Quintal, MAXIMUM 500Rs./Quintal, modal 400Rs./Quintal', 'MINIMUM NR Rs./Quintal, MAXIMUM NR Rs./Quintal, modal 980Rs./Quintal']",SAGAR,5,Market Information,about farmer in information know mandi onion rate to want,MADHYA PRADESH
3544,"['Recommended for varieties of urd T-9, panth-u-30, khargone-3, basant bahar, Jawahar urd-2, jawahar urd-3, TPU-4 are are the popular varieties of urd under cultivation.']",DAMOH,1,Varieties,about crop farmer information know of to urd varieties wants,MADHYA PRADESH
3545,['DEEP COTTON IN NUVAN AND PLACE IT INTO THE HOLE CREATED BY STEM BORER AND COVER THAT HOLE WITH MUD'],RAIGARH,2,	Plant Protection	,attack borer stem,MAHARASHTRA
3546,['SUBSIDY ON JAL HOUZ = 50% OF TOTAL COST OR 60000/- MAXIMUM'],BARMER,4,	Plant Protection	,hoze in jal me subsidy tell,RAJASTHAN
3547,"['recommended for to control sucking pest in garlic crop spray fipronil@ 25 ml at 15 liter of water.', 'to control sucking pest in garlic crop spray fipronil@ 25 ml at 15 liter of water.', '?\timedachlorprid 5-7 ml at 15 liter of water.']",SAGAR,3,	Plant Protection	,about control crop farmer garlic how in information know pest sucking to to want,MADHYA PRADESH
3548,['USE CHLOROPYRIFOS 20% EC 4 LITER PER HA WITH IRRIGATION'],ALWAR,5,	Plant Protection	,control in me sorghum tell termaite,RAJASTHAN
3549,"['USE  Fipronil 0.3% GR 12-15 KG PER HA', 'USE QUINOLPHOS 25% EC 4 LITER PER HA WITH IRRIGATION FOR CONTROL OF WHITE GRUB']",ALWAR,8,	Plant Protection	,control cotton in me tell termaite,RAJASTHAN
3550,['NAGAUR MANDI ME JEERA KE BHAV = 18200 RS./QUT.'],BARMER,5,Market Information,bhav cumin mandi me of tell,RAJASTHAN
3551,['SPRAY OF THIOUREA .5 GM'],BARMER,1,	Plant Protection	,growth in isabgol me tell,RAJASTHAN
3552,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],BARMER,2,Cultural Practices,ber control droping fruit in me plant tell,RAJASTHAN
3553,['HAND WEEDING MUST'],AJMER,8,Weed Management,control in me moong tell weeed,RAJASTHAN
3554,['Recommended for to control of fungal attack use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water'],SAGAR,9,	Plant Protection	,attack control farmer fungal ginger how in know to to want,MADHYA PRADESH
3555,['SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER'],AJMER,7,	Plant Protection	,chillies control in leafcurl me tell,RAJASTHAN
3556,['FERESH SULPHATE 5 GRAM /PAR LITER WATER SPREY'],ALWAR,7,Weather,bhindi in leaf me tell yellow,RAJASTHAN
3557,['For seed treatment-Use recommended dose of carbendazim + thirum (2:1) 3 gram per kg of seed or thirum + carboxin 75 wp 3 gram per kg of seed or trichoderma virdi 5 gram per kg of seed or Mancozeb or metalexil or kepton fungicide 3 gram per kg of seed.\r\nInsecticide- Use recommended dose of imidacloprid (Gaucho) 5-7 gram per kg of seed or thiamethoxam 10 ml per kg of seed after treat with fungicide or chlorpyriphos 20 EC 5 ml per kg of seed or per liter of water.'],SAGAR,4,	Plant Protection	,farmer for ginger information needs regarding seed seed treatment,MADHYA PRADESH
3558,['SPRAY OF CARTAP HYDROCHLORIDE 50% SP 1 ML PER LITER WATER'],ALWAR,6,	Plant Protection	,control fodder insect me of sorghum tell,RAJASTHAN
3559,['For seed treatment-Use recommended dose of carbendazim + thirum (2:1) 3 gram per kg of seed or thirum + carboxin 75 wp 3 gram per kg of seed or trichoderma virdi 5 gram per kg of seed or Mancozeb or metalexil or kepton fungicide 3 gram per kg of seed.\r\nInsecticide- Use recommended dose of imidacloprid (Gaucho) 5-7 gram per kg of seed or thiamethoxam 10 ml per kg of seed after treat with fungicide or chlorpyriphos 20 EC 5 ml per kg of seed or per liter of water.'],SAGAR,2,	Plant Protection	,cucumber farmer for information needs regarding seed seed treatment,MADHYA PRADESH
3560,['SPRAY OF DIFENACONAZOLE 0.5 ML PER LITER WATER'],BARMER,2,	Plant Protection	,control cumnin fungus in me tell,RAJASTHAN
3561,"['VARIETY OF PIGEON PEA---MAHAK,UPAS,JAGRUTI,ASA,MARUTI']",BALANGIR,6,Cultural Practices,of pea pigeon variety,ODISHA
3562,['Spray borex @ 3 gm  liter OR boron Powder 20 % @ 10-15 gram /Pump.'],SAGAR,4,	Plant Protection	,citrus control cracking crop fruit how lemon of to,MADHYA PRADESH
3563,['CONTECT NUMBER OF ANIMAL HUSBANDRY-1800 180 6224'],AJMER,9,Animal Breeding,animal contect husbandry me number of tell,RAJASTHAN
3564,['APPLY COPOR OXYCHLORIDE AT GUMMING PLACE'],DHENKANAL,1,	Plant Protection	,gummosis,ODISHA
3565,['USE  Fipronil 0.3% GR 12-15 KG PER HA'],BARMER,1,	Plant Protection	,control cumin in me tell termaite,RAJASTHAN
3566,['SPRAY OF CAEPHATE 2 GM/LITRE'],ALWAR,3,	Plant Protection	,cilla citrus control in lemobns me tell,RAJASTHAN
3567,"['MUSTARD VARIETY- T59,PUSA BOLD,RH30,BIO902,LAXMI,VASUNDHARA,JAGANNATH,RGN48,73']",ALWAR,9,Seeds,me mustard of tell varitiies,RAJASTHAN
3568,['SPRAY OF COPPER OXICHLORIDE 45 GM + STREPTOCYCLIN 2 GM PER 15 LITER WATER'],ALWAR,9,	Plant Protection	,bacterial blight control disease guava in me tell,RAJASTHAN
3569,['SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER'],ALWAR,8,	Plant Protection	,control cotton funges me of tell,RAJASTHAN
3570,"['Paddy varieties for up-medium land : M.T.U-1010, Bhoi, Radhi(120days) Konarka, Lalata, Kharabela and Sebati(125days)']",BALASORE,6,Varieties,for land medium paddy up varieties,ODISHA
3571,['recommended for spray to Emamectin benzoate 5 % 7-8 gram/pump'],SAGAR,8,	Plant Protection	,caterpillar control how in soybean to,MADHYA PRADESH
3572,['Recommended for Spray emamectin benjoate  or indoxa carb 10 ml at 15 liter of water.'],DAMOH,9,	Plant Protection	,caterpillars control crop how in pea pigeon to tobacco,MADHYA PRADESH
3573,['Recommended for Spray Dimethoate 30%EC (Rogar) 30 ml per pump.'],SAGAR,5,	Plant Protection	,chille control crop farmer fly in information measures need of regarding white,MADHYA PRADESH
3574,['TELL ME ACEPHATE + MENCOZEB 2 GM/LITRE'],ALWAR,4,	Plant Protection	,control cucumber curul in leaf me tell,RAJASTHAN
3575,['When your crop become 25 to 30 days you will be spay qugelefop ethyel 400ml per acar for narrow leaf weeds and emejhathayper 300 ml per acar for broad leaf weeds'],DAMOH,7,Weed Management,about control crop farmer how in information know soybean to to want weeds,MADHYA PRADESH
3576,"['Damoh 1 \xe2\x80\x93 3 Day Weather Forecast Summary: Heavy rain (total 33mm), heaviest during Thu afternoon. Warm (max 33\xc2\xb0C on Tue afternoon, min 25\xc2\xb0C on Wed night). Wind will be generally light.', 'Damoh 1 \xe2\x80\x93 3 Day Weather Forecast Summary: Heavy rain (total 44mm), heaviest during Thu afternoon. Warm (max 33\xc2\xb0C on Thu morning, min 24\xc2\xb0C on Fri night). Winds increasing (calm on Thu afternoon, fresh winds from the SW by Sat afternoon).', 'Damoh\r\n10 day forecast\r\nToday Clear\r\nHi: +35\xc2\xb0\r\nLo: +18\xc2\xb0\r\nNW 5 m/s Details\r\nTomorrow Mostly clear\r\nHi: +34\xc2\xb0\r\nLo: +18\xc2\xb0\r\nN 3 m/s Details\r\nSat Mar 4 Clear\r\nHi: +34\xc2\xb0\r\nLo: +16\xc2\xb0\r\nN 4 m/s Details\r\nSun Mar 5 Clear\r\nHi: +33\xc2\xb0\r\nLo: +15\xc2\xb0\r\nNE 3 m/s Details\r\nMon Mar 6 Clear\r\nHi: +33\xc2\xb0\r\nLo: +16\xc2\xb0\r\nN 2 m/s Details\r\nTue Mar 7 Partly cloudy\r\nHi: +35\xc2\xb0\r\nLo: +18\xc2\xb0\r\nW 4 m/s Details\r\nWed Mar 8 Partly cloudy\r\nHi: +34\xc2\xb0\r\nLo: +19\xc2\xb0\r\nNW 3 m/s Details\r\nThu Mar 9 Clear\r\nHi: +34\xc2\xb0\r\nLo: +18\xc2\xb0\r\nN 4 m/s Details\r\nFri Mar 10 Clear\r\nHi: +33\xc2\xb0\r\nLo: +16\xc2\xb0\r\nNW 4 m/s Details\r\nSat Mar 11 Clear\r\nHi: +32\xc2\xb0\r\nLo: +14\xc2\xb0\r\nSW 4 m/s Details', 'Damoh 1 \xe2\x80\x93 3 Day Weather Forecast Summary: Mostly dry. Warm (max 24\xc2\xb0C on Sat afternoon, min 5\xc2\xb0C on Thu night). Wind will be generally light.', 'Damoh 1 \xe2\x80\x93 3 Day Weather Forecast Summary: Heavy rain (total 23mm), heaviest during Sat night. Warm (max 33\xc2\xb0C on Sat afternoon, min 24\xc2\xb0C on Mon night). Wind will be generally light.Damoh 4 \xe2\x80\x93 7 Day Weather Forecast Summary: Heavy rain (total 46mm), heaviest during Fri afternoon. Warm (max 33\xc2\xb0C on Tue afternoon, min 25\xc2\xb0C on Thu night). Wind will be generally light.', 'Damoh 1 \xe2\x80\x93 3 Day Weather Forecast Summary: Light rain (total 4mm), mostly falling on Sun night. Warm (max 33\xc2\xb0C on Sun afternoon, min 23\xc2\xb0C on Mon night). Wind will be generally light. Damoh 4 \xe2\x80\x93 7 Day Weather Forecast Summary: Heavy rain (total 49mm), heaviest during Fri night. Warm (max 34\xc2\xb0C on Thu afternoon, min 26\xc2\xb0C on Fri night). Wind will be generally light. Damoh 7 \xe2\x80\x93 10 Day Weather Forecast Summary: Heavy rain (total 56mm), heaviest during Tue morning. Warm (max 31\xc2\xb0C on Sun afternoon, min 24\xc2\xb0C on Tue night). Wind will be generally light.', 'Damoh 1 \xe2\x80\x93 3 Day Weather Forecast Summary: Moderate rain (total 11mm), heaviest on Sat afternoon. Warm (max 35\xc2\xb0C on Fri afternoon, min 26\xc2\xb0C on Thu night). Winds decreasing (fresh winds from the WNW on Fri morning, light winds from the W by Sat night).', 'Damoh 1 \xe2\x80\x93 3 Day Weather Forecast Summary: Light rain (total 9mm), mostly falling on Sat afternoon. Warm (max 35\xc2\xb0C on Sat morning, min 26\xc2\xb0C on Mon night). Wind will be generally light.', 'Damoh 1 \xe2\x80\x93 3 Day Weather Forecast Summary: Mostly dry. Warm (max 43\xc2\xb0C on Thu afternoon, min 30\xc2\xb0C on Thu night). Mainly fresh winds.', 'Batiagarh 1 \xe2\x80\x93 3 Day Weather Forecast Summary: Heavy rain (total 52mm), heaviest during Mon morning. Warm (max 32.6\xc2\xb0C on Tue afternoon, min 24.7\xc2\xb0C on Tue night). Wind will be generally light.Batiagarh 4 \xe2\x80\x93 7 Day Weather Forecast Summary: Heavy rain (total 150mm), heaviest during Wed night. Warm (max 30.1\xc2\xb0C on Thu afternoon, min 22.6\xc2\xb0C on Fri night). Winds decreasing (fresh winds from the NE on Wed night, calm by Fri night).', 'Damoh 1 \xe2\x80\x93 3 Day Weather Forecast Summary: Mostly dry. Warm (max 27\xc2\xb0C on Wed afternoon, min 10\xc2\xb0C on Tue night). Wind will be generally light.', 'Damoh 1 \xe2\x80\x93 3 Day Weather Forecast Summary: Moderate rain (total 10mm), heaviest on Tue night. Warm (max 42\xc2\xb0C on Wed morning, min 28\xc2\xb0C on Tue night). Wind will be generally light.']",DAMOH,9,	Field Preparation	,damoh dist farmer for information madhya needs of pradesh regarding state,MADHYA PRADESH
3577,['RECOMMENDED TO SPRAY MULTI-K 7.5 GM/ LIT WATER FOR BETTER  GROWTH AND YIELD IN GREENGRAM'],BALANGIR,1,Cultural Practices	,and better for greengram growth in yield,ODISHA
3578,['fertilizer dose for sapota - 15;15;15 1.5 kg + neem ark 2 kg + cow dung 30 kg / plant'],RAIGARH,9,Fertilizer Use and Availability,about asked dose fertilizer for sapota,MAHARASHTRA
3579,['DEEP COTTON IN NUVAN AND PLACE IT INTO THE HOLE CREATED BY STEM BORER AND COVER THAT HOLE WITH MUD'],RAIGARH,2,	Plant Protection	,attack borer coconut of on stem,MAHARASHTRA
3580,['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER + MENCOJEB 2GM PAR LITAR WATER'],ALWAR,1,	Plant Protection	,about control in leafe me spot tell tometo,RAJASTHAN
3581,"['CONTACT ASST AGRICULTURE OFFICER,CUTTACK DIST.']",CUTTACK,5,Market Information,pump scheme solar subsidy,ODISHA
3582,['RECOMMENDED TO SPRAY CAPTAN 2GM/ LIT WATER FOR CONTROL OF SEED TREATMENT OF BLACKGRAM'],BALASORE,2,Cultural Practices	,blackgram of seed treatment,ODISHA
3583,"['SEND MONEY ORDER TO AHARAN VITRAN ADHIKARI, KRISHI AYUCTALAYA, ROOM NO.- 250, PANT KRISHI BHAWAN, JAIPUR-302005 FOR GET KHETI RI BATAN MAGZINE']",BARMER,2,Government Schemes,bhavan contact me number of pant tell,RAJASTHAN
3584,['USE CARBOFURAN 3% G 25-30 KG PER HA'],ALWAR,7,	Plant Protection	,brinjal control in me nematode of tell,RAJASTHAN
3585,['SPRAY OF COPPER OXICHLORIDE 45 GM + STREPTOCYCLIN 2 GM PER 15 LITER WATER'],ALWAR,7,	Plant Protection	,in jhulasa mango me tell,RAJASTHAN
3586,['PLEASE CONTACT TO AG DEPTT. OF YOUR DISTT.'],AJMER,8,Government Schemes,in me paepline subsidy tell,RAJASTHAN
3587,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],ALWAR,8,	Plant Protection	,control in insect me millet pearl tell,RAJASTHAN
3588,['Soybean sowing during the first week of June from the last week of June to 4-5 inches of rainfall.'],SAGAR,6,Cultural Practices,about farmer know of sowing soybean time to want,MADHYA PRADESH
3589,['SPRAY OF MENCOZEB 2 GM PER LITER WATER'],BARMER,2,	Plant Protection	,about control cumin in me pest tll,RAJASTHAN
3590,"['RECOMMENDED TO SPRAY PLANOFIX 1 ML/ 5 LIT WATER', 'RECOMMENDED TO SPRAY PLANOFIX 1ML/ 5LIT WATER']",BALANGIR,8,	Plant Protection	,chilli flowering hormone in,ODISHA
3591,"['RECOMMENDED TO SPRAY MULTI-K 7.5 GM/ LIT WATER FOR BETTER GROWTH AND YIELD IN PADDY', 'RECOMMENDED TO SPRAY MULTI-K 7.5 GM/LIT WATER FOR BETTER GROWTH AND YIELD IN PADDY']",BALASORE,3,Cultural Practices	,and better for growth in paddy yield,ODISHA
3592,"['?\tSpray imidacloprid 17.8 SL (Admire, confidor 200 SC, 250 ml per hectare) 5-7 ml at 15 liter of water.', 'recommended to control sucking pest in bitter gourd crop Spray imidacloprid 17.8 SL (Admire, confidor 200 SC, 250 ml per hectare) 5-7 ml at 15 liter of water.']",DAMOH,6,	Plant Protection	,bitter control crop farmer gourd how in information needs pest regarding sucking to,MADHYA PRADESH
3593,['Recommended for before germination use pendimethilin 2.5 to 3 liter at 500 liter of water per hactayer'],SAGAR,6,Weed Management,about control crop farmer how in know to to urda wants weeds,MADHYA PRADESH
3594,"['Recommended for varieties of pigeon pea T 21, Prabhat, Gwalior, I C P L-151, I C P L-87, U P A S-120, Paras, Manak are the popular varieties', 'Recommended for varieties of pigeon pea T 21, Prabhat, Gwalior, I C P L-151, I C P L-87, UPAS-120, PUSA-33, PUSA-885, KHARGON-2, JAWAHAR-4 Paras, Manak are the popular varieties']",DAMOH,5,Seeds,about farmer information know of pea pigeon to varieties wants,MADHYA PRADESH
3595,['recommended for to control of flower and fruit drop spray planofix 5 ml per pump'],SAGAR,4,	Plant Protection	,about and control crop drop farmer flower fruit in information know of papaya to want,MADHYA PRADESH
3596,"['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER', 'SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER']",BARMER,1,	Plant Protection	,about aphid control cumin in me tell,RAJASTHAN
3597,['SPRAY OF CARBENDAZIM 12% + MANCOZEB 63% WP 2 GM PER LITER WATER'],AJMER,4,Seeds and Planting Material,blight controle gourd in me ridge tell,RAJASTHAN
3598,"['In the kharif season, farmers can plant fodder, jowar, maize, guar, millet etc.']",SAGAR,6,Weather,crop farmer fodder information need of regarding sowing time,MADHYA PRADESH
3599,['Ans= spray of imazethapyr  10% 40 ml per pump .'],SAGAR,7,Weed Management,control crop how in of q soybean to weed,MADHYA PRADESH
3600,['SPRAY THIOMETHOCZAM (EKTRA) @ 10GM/15LIT WATER FOR THRIPS IN OKRA'],CUTTACK,5,	Plant Protection	,in okra thrips,ODISHA
3601,"['Minimum 3400Rs/Quintal, Maximum 3660Rs/Quintal, Modal price 3500Rs/Quintal', 'Minimum 3450\tRs/Quintal,3750\t Maximum Rs/Quintal, Modal price 3650  Rs/Quintal']",SAGAR,4,Market Information,farmer information lentill mandi market needs of rate regarding,MADHYA PRADESH
3602,"['Recommended for spray KOROKILL [Triazofos 35 EC.+Deltamethrin 1% EC.]@ 40-50 ml./pump.', 'Recommended for spray Emamectin benzoate (MISSILE ,PROCLAIM,ROBOT) 5 % SG @ 5-7 GRAM per 15 litter water.']",SAGAR,9,	Plant Protection	,catterpiller control crop cut how of soybean to worm,MADHYA PRADESH
3603,['SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER'],ALWAR,3,	Plant Protection	,bhaindi in me tell thrips tinda,RAJASTHAN
3604,['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER'],ALWAR,3,	Plant Protection	,cotrol mango me of pest tell,RAJASTHAN
3605,['JODHPUR MANDI ME  MOTH KE BHAV =3550 RS./QUT.'],BARMER,3,Market Information,in information jodhpur market me moth of tell,RAJASTHAN
3606,"['Bengal Gram(Gram)\t194.8\tTonnes\tDesi (Whole)\t4800\t5200\t5100\tRs/Quintal\r\nBlack Gram (Urd Beans)\t85.6\tTonnes\tOther\t4100\t5400\t4600\tRs/Quintal\r\nLentil(Masur)\t347.1\tTonnes\tOther\t4000\t4600\t4300\tRs/Quintal', 'Tomato\t6.2\tTonnes\tDeshi\t200\t400\t300\tRs/Quintal', 'Pulses\r\nArhar (Tur/Red Gram)\t0.1\tTonnes\tDesi(Whole)\t4680\t4680\t4680\tRs/Quintal\r\nBengal Gram(Gram)\t192.4\tTonnes\tKanta\t4500\t5900\t4750\tRs/Quintal\r\nBlack Gram (Urd Beans)\t12.1\tTonnes\tDesi\t4000\t4820\t4600\tRs/Quintal\r\nLak(Teora)\t125\tTonnes\tLak (Whole)\t1900\t2200\t2100\tRs/Quintal\r\nLentil(Masur)\t201.3\tTonnes\tMasoor Gola\t3900\t4250\t4100\tRs/Quintal\r\nPeas(Dry)\t115.6\tTonnes\tPeas(Dry)\t3100\t3500\t3300\tRs/Quintal', 'Onion\t993.5\tTonnes\tOther\t300\t600\t500\tRs/Quintal', 'Bengal Gram(Gram)\t319\tTonnes\tDesi (Whole)\t5000\t5600\t5370\tRs/Quintal\r\nBlack Gram (Urd Beans)\t7.2\tTonnes\tOther\t4200\t4475\t4300\tRs/Quintal', 'Cereals\r\nWheat\t78.7\tTonnes\tMP Sharbati\t1480\t2205\t1800\tRs/Quintal', 'Bengal Gram(Gram)\t6.8\tTonnes\tDesi (Whole)\t3200\t4200\t4000\tRs/Quintal\r\nBlack Gram (Urd Beans)\t55.5\tTonnes\tOther\t4500\t5115\t4940\tRs/Quintal\r\nLentil(Masur)\t34.7\tTonnes\tOther\t3100\t3500\t3400\tRs/Quinta', 'Onion\t530.7\tTonnes\tOther\t450\t600\t500\tRs/Quintal', 'Bengal Gram(Gram)\t134.2\tTonnes\tDesi (Whole)\t4750\t5295\t5140\tRs/Quinta\r\nSoyabean\t90.4\tTonnes\tOther\t2680\t2890\t2800\tRs/Quintal', 'Market:Jabalpur(F&V)\r\nSpices\r\nGinger(Dry)\t5\tTonnes\tVegitable-fresh\t500\t1400\t900\tRs/Quintal\r\nVegetables\r\nGreen Chilli\t6\tTonnes\tGreen Chilly\t500\t1200\t735\tRs/Quintal\r\nTomato\t3.8\tTonnes\tDeshi\t300\t500\t400\tRs/Quintal', 'Onion\t519.5\tTonnes\tOther\t450\t650\t550\tRs/Quintal', 'Bengal Gram(Gram)\t20.2\tTonnes\tDesi (Whole)\t5000\t5300\t5200\tRs/Quinta', 'Oil Seeds\r\nSoyabean\t7.6\tTonnes\tOther\t2500\t2700\t2675\tRs/Quintal', 'Lentil(Masur)\t82.4\tTonnes\tOther\t3415\t4315\t3900\tRs/Quintal', 'Onion\t764.3\tTonnes\tOther\t400\t500\t450\tRs/Quintal']",SAGAR,3,Market Information,farmer information know market rate to want,MADHYA PRADESH
3607,"['RECOMMENDED TO SPRAY ACEPHETE 2 GM/ LIT WATER FOR CONTROL OF LEAF CURL IN COWPEA', 'RECOMMENDED TO SPRAY ACEPHETE 1.5 GM/ LIT WATER FOR CONTROL LEAF CURL IN COWPEA', 'RECOMMENDED TO SPRAY ACEPHETE 1.5 GM/ LIT WATER FOR CONTROL OF LEAF CURL IN COWPEA']",CUTTACK,8,	Plant Protection	,cowpea curl in leaf,ODISHA
3608,"['RECOMMENDED TO SPRAY IMIDACLOPRID 1ML/3LIT WATER', 'RECOMMENDED TO SPRAY ACEPHATE @ 2.5 GM / 1 LIT WATER']",BALANGIR,8,	Plant Protection	,in moong pests sucking,ODISHA
3609,"['Spray 00:52:34 60 gm + Microla 30ml/ 15 lit water', 'Spray of 00 52 34 60 gm + microla 30 ml/ 15 lit water.', '200 GM UREA + MICROLLA 100 ML + BAVISTIN 30 GM/15 LITER WATER']",THANE,1,Fertilizer Use and Availability,growth sprayer,MAHARASHTRA
3610,"['VARIETY OF TOMATO= PUSA GOURAV, PUSA SADABAHAR, PUSA ROHINI, P H 8']",ALWAR,3,Seeds and Planting Material,in le tell tomato variety,RAJASTHAN
3611,['recommended for to control of fungal attack spray  carbandazim + mancozeb 40gm.and streptocyclin 2 gram at 15 liter of water'],SAGAR,8,Weather,about attack control crop farmer fungal how in information know of sagar to to want,MADHYA PRADESH
3612,['SPRAY THIOMETHOCZAM @ 10GM + COPPER OXYCHLORIDE @ 40GM/15LIT WATER FOR SUCKING PEST AND FUNGAL INFECTION   IN CUCUMBER'],CUTTACK,5,	Plant Protection	,and cucumber fungal in infection pest sucking,ODISHA
