,answers,changed-questions,district,month,query-type,state
3797,['SPRAY OF ATRAZINE 2.5 GM PER LITER WATER AFTER SOWING BUT BEFORE GERMINATION'],bajra control trll weed,ALWAR,7,Weed Management,RAJASTHAN
3798,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],control insect tell watermelon,BARMER,4,	Plant Protection	,RAJASTHAN
3799,['Spray boom flower 20 ml (nitrobenzene 20%)/15 lit of water-DEVICROP AGRO SCI.COMP.'],flowering mango,RATNAGIRI,2,Nutrient Management,MAHARASHTRA
3800,['RECOMMENDED TO SPRAY POLYFEED (19-19-19) @ 7 GRAM / 1 LIT OF WATER'],cotton growth slow,BALANGIR,8,Cultural Practices,ODISHA
3801,"['spray of Tebuconazole 50% + Trifloxystrobin 25% w/w  (native 75% WP) 200 gram / hac.or Spray Tricyclazol, hexacorazol, propiconazol 20-25 ml per pump and steptrocyclin 2 to 3 gram per pump.']",crop farmer information know loose smut want wheat,SAGAR,2,	Plant Protection	,MADHYA PRADESH
3802,['JODHPUR MANDI ME MOTH KE BHAV =3350 RS./QUT'],bhav ke mandi moth tell,BARMER,9,Market Information,RAJASTHAN
3803,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],plant protection tell tometo,BARMER,3,	Plant Protection	,RAJASTHAN
3804,['DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION'],brijil control root rot tell,ALWAR,2,	Plant Protection	,RAJASTHAN
3805,['PUSA  GORAV PUSA SADABAHAR PUSA ROHINI PH 8'],tell tomato vartiy,ALWAR,5,Seeds and Planting Material,RAJASTHAN
3806,['Recommended for soil testing please contact at your nearest krishi vigyan kendra or krishi upaj mandi.'],9farmer district information needs regarding soil testing,SAGAR,6,Government Schemes,MADHYA PRADESH
3807,['RECOMMENDED TO SPRAY COPPER OXICHLORIDE 2GM + PLANTOMYCIN 1.5 GM/ LIT WATER FOR CONTROL OF LEAF BLIGHT IN CAULIFLOWER'],blight cauliflower leaf,BALANGIR,1,	Plant Protection	,ODISHA
3808,['recommend for spray to Imidacloprid 17.8 % SL 5-7 ML/PUMP'],control onion sucking,SAGAR,2,	Plant Protection	,MADHYA PRADESH
3809,['JODHPUR MANDI RATE OF ISBGUL=10420 Rs./Q.'],isbgul mandi rate tell,BARMER,4,Market Information,RAJASTHAN
3810,"['NO WEEDICIDE IN ,HAND WEEDING']",sorghum tell weedicide,AJMER,7,	Plant Protection	,RAJASTHAN
3811,"['VARITIES OF CUCUMBRER-PUSA SHYOG,PUSA UDAY']",cucumbrer tell varities,ALWAR,3,	Plant Protection	,RAJASTHAN
3812,['DUSTING OF METHYL PARATHIAN 2% 25 KG PER HA'],bean control cut moong tell worm,BARMER,8,	Plant Protection	,RAJASTHAN
3813,"['Recommended for Spray Dimethoate 30pum%EC (Rogar) 30 ml per p.', 'Recommended for Spray Dimethoate 30%EC (Rogar) 30 ml per pump.', 'Recommended for Spray Daiphenthuran (Pegasas) 10 to 15 gram at per pump.']",control crop farmer fly garlic information measures need regarding white,SAGAR,9,	Plant Protection	,MADHYA PRADESH
3814,['PLEASE CONTACT TO AG DEPTT. OF YOUR DISTT.'],information kheti ki moti tell,ALWAR,6,Government Schemes,RAJASTHAN
3815,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],controle papaya pest tell,ALWAR,5,	Plant Protection	,RAJASTHAN
3816,"['SPRAY OF ZINK SULPHATE  5 GRAM +UREA 10 GRAM PER LITER WATER', 'SPRAY OF THIOUREA 0.5 GM PER LITER WATER']",plant protaction tell wheat,ALWAR,1,Nutrient Management,RAJASTHAN
3817,['Recommended  for to know information about fodder management of animal  contact to your animal hospital/veterinary doctor or contact 18001801199'],animal farmer fodder information know management wants,SAGAR,3,Animal Nutrition,MADHYA PRADESH
3818,"['VARIETY OF CHILLI = RCH 1, NP-46, PUSA JWALA, MATHANIA LONG, PANT C 2']",capcicum tell verity,ALWAR,6,	Plant Protection	,RAJASTHAN
3819,['23/09/2017\t53.9\tOther\t2700\t4500\t3850'],crop farmer information know mandi rate urd want,SAGAR,9,Market Information,MADHYA PRADESH
3820,"['Recommended for to know information about scheeme of animal  contact to your animal hospital/veterinary doctor or contact 18001801199', 'Recommended for to know information about disease management of animal  contact to your animal hospital/veterinary doctor or contact 18001801199']",animal disease farmer information know management wants,SAGAR,9,Government Schemes,MADHYA PRADESH
3821,['recommended for to know information about polly house contact to your R H E O'],farmer house information know polly want,JABALPUR,4,Market Information,MADHYA PRADESH
3822,['AFTER 90 DAYS'],compost days parper tell,BARMER,2,	Plant Protection	,RAJASTHAN
3823,['SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER'],bhindi control em insect tell,ALWAR,7,	Plant Protection	,RAJASTHAN
3824,"['1.  spray dimethoate 30 EC, 30 ml per pump']",control crop farmer information know paddy pest sucking wants,DAMOH,8,	Plant Protection	,MADHYA PRADESH
3825,['60% SUBSIDY IN SOLOUR ENERGY'],energy rajasthan solour subsidy tell,BARMER,7,Weather,RAJASTHAN
3826,"['Alwar, ADH \r\nGanpat Lal \r\n0144-2333308']",flowericulture tell,ALWAR,3,Floriculture,RAJASTHAN
3827,['DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION'],bail control dry root tell,ALWAR,7,	Plant Protection	,RAJASTHAN
3828,['Farmers control of the soybean crop Illion Mithomil 40% SP 25 g / pump to spray at the rate of |'],control crop farmer information know podborer urd want,DAMOH,8,	Plant Protection	,MADHYA PRADESH
3829,['?? ???? ???? ??? ???? ???? ???? ?????? ?? ???? ????? ???? ?? ???????  ??'],barmer report tell weathwer,BARMER,7,Weather,RAJASTHAN
3830,['PLANT FEMALE : MALE CUTTING RATIO @ 9:1'],deformed fruit gourd pointed,CUTTACK,4,	Plant Protection	,ODISHA
3831,['SPRAY OF ACEPHATE 2 GM/LITRE'],aphid control guwa tell,ALWAR,3,	Plant Protection	,RAJASTHAN
3832,['PLEASE CONTACT TO AG DEPTT. OF YOUR DISTT.'],agriculture contact supervisior tell,BARMER,7,Market Information,RAJASTHAN
3833,['DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION'],bhindi control root rot tell,ALWAR,5,	Plant Protection	,RAJASTHAN
3834,"['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER', 'SPRAY OF PROFENOFOS + CYPERMETHRIN 1.5 ML PER LITER WATER', 'SPRAY OF TRIZOPHOS 40% EC 2 ML PER LITER WATER', 'SPRAY OF MONOCROTOPHOS 36% SL 2 ML PER LITER WATER']",control insect moong tell,ALWAR,4,	Field Preparation	,RAJASTHAN
3835,"['SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER', 'SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER']",cut gram tell worm,ALWAR,1,	Plant Protection	,RAJASTHAN
3836,"['Recommended for damoh mandi rate of bengal gram crop  4900 rupees per quintal on may 2017.', 'Madhya Pradesh \tPatharia \tPulses \tBengal Gram(Gram) \tOther \tFAQ \t5000 \t5300 \t5100 \t27 Apr 2017', 'Madhya Pradesh \tBina \tPulses \tBengal Gram(Gram) \tKanta \tFAQ \t4500 \t5300 \t4900 \t13 May 2017']",bengal crop farmer gram information know mandi rate wants,DAMOH,5,Market Information,MADHYA PRADESH
3837,"['Recommended for to control stem borer in paddy\r\nApply phorate 10G @ 12.5kg/hac. or\r\nSpray cartap hydrochloride 50% sp @300-400gm/Acer', 'use recommended dose of chloropyriphos 20EC @ 700-800 ml, mixed in 8-10 kg of sand and broad cast in 1 acre of field or chloropyriphos 10% granule 10 kg per hectare broadcast with 4 kg sand or chloropyriphos 4% dust 6 kg per acre broadcast with 8-10 kg sand.', 'Apply phorate 10G @ 12.5kg/hac.', 'Recommended for to control stem borer in paddy \r\nApply phorate 10G @ 12.5kg/hac. or', 'use recommended dose of chloropyriphos 20EC @ 700-800 ml, mixed in 15-20 kg of sand and broad cast in 1 acre of field and chloropyriphos 20 EC @ 20-25 ml per pump for control Shoot and fruit borer.']",borer control farmer information measures needs paddy regarding rice fore,MANDLA,8,	Plant Protection	,MADHYA PRADESH
3838,"[""The quantity of seed in the farmer's brother Soya bean crop is 80-9 kg / h.""]",crop rate seed soybean,SAGAR,6,Seeds,MADHYA PRADESH
3839,['CONTECT FOR 0141-5116242'],problem related seed tell,AJMER,4,Government Schemes,RAJASTHAN
3840,['Dr.Balasaheb Sawant Konkan Krishi Vidyapeeth-Dapoli- 02358 282 065'],asked cultivation,THANE,5,Market Information,MAHARASHTRA
3841,['Spray Planofix-1ml per 5-litres of water once to the foliage'],flowering hormone mango stage,BALANGIR,1,Nutrient Management,ODISHA
3842,['RECOMMENDED TO SPRAY PLANOFIX 1ML/5LIT WATER'],brinjal fruiting less,BALANGIR,3,	Plant Protection	,ODISHA
3843,"['Recommended  for The summer monsoon sesame , sesame crop is able to produce more . From 15 February to 20 March is the time of sowing . you may sow TKG- 21, TKG-22, TKG-55 . Take 5 kg of seed per hectare per year . 30 cm from line-line and8-10 cm  plant to plant . Urea 130 kg , 250 kg and 33 kg myureta single suparaphaspheta of potash per hectare per insert. Insects, diseases, and weeds will continue to take appropriate measures to continuously monitor and keep it free of the crop']",cultivation farmer information know til wants,JABALPUR,5,	Plant Protection	,MADHYA PRADESH
3844,['Recommended for to control of fungal attack in onion crop use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water'],attack control crop fenugreek fungal known,JABALPUR,1,	Plant Protection	,MADHYA PRADESH
3845,['for more details about gov schemes please visit your taluka agril officer'],asked gov schemes,RATNAGIRI,4,Government Schemes,MAHARASHTRA
3846,['SPRAY OF ACEPHATE 75% SP 2 GM  + MENCOJEB 2GM PAR LITAR WATER'],control cummin fungas pest tell,BARMER,1,	Plant Protection	,RAJASTHAN
3847,"['Lentil(Masur)\t32.8\tTonnes\t\tKala Masoor New\tFAQ\t3185\t3600\t3490\tRs/Quintal', 'recommended for  market information of urd for jabalpur   minimum-4050 maximum-4200 average-4140Rs/Quintal', 'recommended for  market information of urd for sagar minimum-4000 maximum-4800 average-4500Rs/Quintal']",farmer information information know market urd wants,JABALPUR,5,Market Information,MADHYA PRADESH
3848,['Recommended for Spray  indoxa carb 10 ml at 15 liter of water.'],brinjal caterpillars crop farmer information need,SAGAR,5,	Plant Protection	,MADHYA PRADESH
3849,"['DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION', 'DRENCHING OF CARBENDAZIM 2 GM PER LITER', '????????????? 1 ????????? ????? ???????? ?? ????? ?? ?????? ?? ??? ?? ??????? ??? ??????']",control root rot tell,ALWAR,7,	Plant Protection	,RAJASTHAN
3850,['DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION'],black cabbage control root tell,ALWAR,9,	Plant Protection	,RAJASTHAN
3851,['Recommended for Mancozeb 63% + Carbendazim 12% WP 40 gram and steptrocyclin 2 gram at 15 liter of water.'],attack chick control crop farmer fungal information measures need pea regarding,SAGAR,2,	Plant Protection	,MADHYA PRADESH
3852,['PLANTING TIME OF ROSE= OCTOBER-NOVEMBER MONTH'],planting rose tell time,BARMER,6,Vegetative Propagation and Tissue Culture,RAJASTHAN
3853,['MICRONUTRIENT 100 GRAM / PLANT IN ROOT  ZONE'],lahsoda management nutrient tell,BARMER,2,Nutrient Management,RAJASTHAN
3854,"['RECOMMENDED TO SPRAY IMIDACLOPRID 1ML / 3 LIT WATER', 'RECOMMENDED TO SPRAY THIAMETHOXAM @ 8 GRAM / 1 LIT OF WATER', 'RECOMMENDED TO SPRAY PYMETROZINE @ 5 GRAM / 15 LIT OF WATER']",brinjal curling leaf,BALANGIR,8,	Plant Protection	,ODISHA
3855,['Spray recommended dose of Profenofos 40% + Cypermethrin 4% EC 1000 Ml/hac.'],control crop farmer information know letharas pest sucking want,SAGAR,1,	Plant Protection	,MADHYA PRADESH
3856,['SPRAY OF BOREX 4 GM PER LITER WATER'],citrus control cracking fruit tell,ALWAR,6,Nutrient Management,RAJASTHAN
3857,['Recommended for Spray Daiphenthuran (pegaasas) 10 to 15 gram at per pump.'],attack chilies control crop farmer fly information measures need regarding white,SAGAR,5,	Plant Protection	,MADHYA PRADESH
3858,['Recommended for Spray Use Plano fix @4 to 5 Ml at 15 liter of water.'],control crop droping farmer flower information know pea problem want,JABALPUR,9,Nutrient Management,MADHYA PRADESH
3859,['SOYBEAN MANDI RATE 2725\t2735\t2730\tRs/Quintal'],crop farmer know mandi rate soybean want,SAGAR,4,	Field Preparation	,MADHYA PRADESH
3860,"['SPRAY OF FIPROLIN 5 % 2 LITER PER HA', 'SPRAY OF MENCOZEB 2 GM PER LITER WATER', 'SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER', 'SPRAY OF CAEPHATE + MENCOZEB 2 GM/LITRE']",control cumin pest tell,BARMER,1,	Plant Protection	,RAJASTHAN
3861,"[', L 35-5, T 9, Pant U 30, LBG 17 (Rabi), LBG 20, PS 1.']",farmer information know varieties want,SAGAR,3,Varieties,MADHYA PRADESH
3862,"['VARIETY OF FODDER BAJRA= RAJCO,L-72, L-74, K- 599, RAJ BAJRA CHARI, JOINT BAJRA', 'VARIETY OF FODDER BAJRA= RAJCO,L- 72, L- 74, K- 599, RAJ BAJRA CHARI, JOINT BAJRA', 'BAJRA VARITEY HHB67,RHB173']",bajra tell varitey,BANSWARA,6,Varieties,RAJASTHAN
3863,['SPRAY IMIDACHLORPRID (CONFIDER) @ 5ML/15LIT WATER FOR YELLOW VEIN MOSAIC VIRUS'],mosaic vein virus yellowing,BALASORE,3,	Plant Protection	,ODISHA
3864,['DAP  Nitrogen 18 % and Phosphorus 46% are available'],composition dap farmer know want,JABALPUR,8,Cultural Practices,MADHYA PRADESH
3865,"['VARIETY OF BLACK GRAM--T-9,SARALA,K.U-300']",black gram variety,CUTTACK,5,Cultural Practices,ODISHA
3866,['SPRAY OF COPPER OXICHLORIDE 45 GM + STREPTOCYCLIN 2 GM PER 15 LITER WATER'],blight control gram tell,BARMER,1,	Plant Protection	,RAJASTHAN
3867,['USE CHLOROPYRIFOS 20% EC 4 LITER PER HA WITH IRRIGATION'],bajra control tell termite,BARMER,7,	Plant Protection	,RAJASTHAN
3868,"['recommend for spray to Imidacloprid 17.8 % SL 5-7 ML/PUMP', 'spray imedaclorpid @5-7 ml/pump']",control farmer fly information know urd want white,SAGAR,7,	Plant Protection	,MADHYA PRADESH
3869,['Recommended for spray of carbaril 30 gram per pump for control of red pumpkin beetle attack in bottle gourd crop.'],attack beetle bottle control crop farmer gourd information measures need pumpkin red regarding,SAGAR,2,	Plant Protection	,MADHYA PRADESH
3870,"['Prior to sowing areas in problem of white braided, put the fortate 10g or carbohydrane at the rate of 3g 20-25 kg / ha. In the field.']",crop grountnut grub white,SAGAR,7,	Plant Protection	,MADHYA PRADESH
3871,['PLEASE CONTACT TO 0154-2440532.'],asked cultivation mushroom tell,BARMER,6,Cultural Practices,RAJASTHAN
3872,['SPRAY OF MENCOZEB 2 GM PER LITER WATER'],black control cummin leaf spot tell,BARMER,2,	Plant Protection	,RAJASTHAN
3873,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],control droping fig fruit tell,AJMER,4,Cultural Practices,RAJASTHAN
3874,"['Recommended for Use potashium sulphate 5 kg at per Acer.\r\nRecommended for N: P: K 0:52:34 1 kg at per Acer', 'Recommended for N: P: K 0:52:34 1 kg at per Acer']",crop increase production size soybean,SAGAR,4,Fertilizer Use and Availability,MADHYA PRADESH
3875,['USE IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER IN ROOT ZONE'],brinjal control tell termite,ALWAR,6,	Plant Protection	,RAJASTHAN
3876,['??? ???? ?? ???????? ??????? ?? ??? ?????? ???  18001030061'],bhima contact karshi number tell,AJMER,7,Government Schemes,RAJASTHAN
3877,['SPRAY ZINK SALPHET 33% 5 GM+BUJHA CHUNA 2.5 GM/LITER WATER'],colour control crop leaf tell wheat yellowing,AJMER,1,Fertilizer Use and Availability,RAJASTHAN
3878,"['SPRAY OF TRIZOPHOS 40% EC 2 ML PER LITER WATER', 'USE IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER IN ROOT ZONE', 'SPRAY OF PROFENOFOS 1.5 ML PER LITER WATER', 'SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER', 'SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER', 'SPRAY OF MONOCROTOPHOS 36% SL 2 ML PER LITER WATER', 'SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER', 'DUSTING OF METHYL PARATHIAN 2% 25 KG PER HA']",control insect moong tell,AJMER,8,	Plant Protection	,RAJASTHAN
3879,['Recommended for seed treatment of soyabean treat the seed with thiram or captan or mancozab or monosan @2-2.5 gram/kg of seed.'],farmer information needs regarding seed soyabean treatment,SAGAR,5,	Plant Protection	,MADHYA PRADESH
3880,['Recommended for to control cricket insects in soybean apply phorate 10G @ 5-6 kg/acre.'],control cricket farmer information insects know soybean wants,SAGAR,7,Cultural Practices,MADHYA PRADESH
3881,['Jaipur Discom Centralised Call center Toll Free No 1800-180-6507'],call center centralised contact discom tell,ALWAR,8,Market Information,RAJASTHAN
3882,[''],control farmer information know lentil pest sucking wants,DAMOH,1,	Plant Protection	,MADHYA PRADESH
3883,['GRAM KA MANDI BHAV 5260'],information markrt tell,AJMER,3,Market Information,RAJASTHAN
3884,['Recommended for to control of rodents attack in wheat crop apply zinc phosphide in field.'],attack control crop farmer guar information needs regarding rodents,AJMER,5,Government Schemes,RAJASTHAN
3885,"['Crop name masur  - Minimum Price(Rs-3350 /Quintal) ,  Maximum Price(Rs-3550 /Quintal)-, Modal Price (Rs -3450  /Quintal']",farmer information know mandi market masur rahatgarh rate want,SAGAR,5,Market Information,MADHYA PRADESH
3886,['Please use organic mannure and insecticide on your field.'],farmer farming infomation needs organic,SAGAR,6,Organic Farming,MADHYA PRADESH
3887,['The next 8 days of weather information: - Chance for light rainfall for your district with cloudfy weather.'],dist farmer information madhya needs pradesh rajgarh regarding state,SAGAR,7,Weather,MADHYA PRADESH
3888,['SPRAY OF QUINOLPHOS 25% EC 2 ML PER LITER WATER'],control gourd pest ridge sucking tell,ALWAR,6,Weather,RAJASTHAN
3889,"['', 'recommended for fertilizer  schedule in SOYBEAN 87 kg urea, 500 kg SSP AND 34 kg MOP/hacter']",crop dose fertilizer soybean,SAGAR,6,Fertilizer Use and Availability,MADHYA PRADESH
3890,"['SPRAY OF THIOUREA 0.5 GM PER LITER WATER', 'SPRAY OF NPK 10 GM/LITRE', 'SPRAY SOLUBLE NPK  18:18:18 GRADE 10 GM/LTR WATER', 'SPRAY OF THIOUREA .5 GM/LITRE']",growth tell wheat,ALWAR,2,Fertilizer Use and Availability,RAJASTHAN
3891,['RECOMMENDED TO SPRAY ACEPHETE 1.5 GM/ LIT WATER FOR CONTROL OF LEAF CURL IN PAPAYA'],curl leaf papaya,CUTTACK,1,	Plant Protection	,ODISHA
3892,['GOWAR BHAW OF BARMER MANDI =3200/QT'],information markite tell,BARMER,6,Market Information,RAJASTHAN
3893,"['VARIETY OF MOONG =SML 668,GM-4, RMG 492, RMG 268, RMG 344']",moong tell vareity,AJMER,6,Varieties,RAJASTHAN
3894,"['Recommended   for weed MANAGEMENT in wheat spray metsulfuran @ 1gm/pump.', 'Recommended for weed MANAGEMENT in wheat spray 2-4 D @ 40ml/pump.']",farmer information know management wants weed wheat,SAGAR,1,Weed Management,MADHYA PRADESH
3895,"['Local varities, PKM1, Vikram and Rasraj are the popular varieties in acid lime.']",acid farmer information know lime varieties want,SAGAR,6,Vegetative Propagation and Tissue Culture,MADHYA PRADESH
3896,"['APPLY 2, 4-D SODIUM SALT 80 % WP @ 2GM/1LIT WATER FOR AGAL BLOOM IN PADDY FIELD']",agal bloom field paddy,BALASORE,3,Weed Management,ODISHA
3897,"['""\r\nSPRAY OF CALECSIN 1 ML/ LITER WATER']",control jeera leaf spot tell,BARMER,2,	Plant Protection	,RAJASTHAN
3898,['SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER'],bottlegourd control disease fungal tell,ALWAR,7,	Plant Protection	,RAJASTHAN
3899,['3502 RU /QU'],ar gv jodpur mandi rate tell,BARMER,3,Weather,RAJASTHAN
3900,['June \xe2\x80\x93 July and September \xe2\x80\x93 October.\r\n\r\nPlanting'],date sowing tell,ALWAR,2,Seeds and Planting Material,RAJASTHAN
3901,['SPRAY OF TRIZOPHOS 40% EC 2 ML PER LITER WATER'],aphids control mustatrd tell,AJMER,1,	Plant Protection	,RAJASTHAN
3902,"['onion,sagar , 25/04/2017\r\nMinimum Rs 300\t/Quintal, Maximum Rs 400\t/Quintal, Modal price Rs 350/Quintal']",crop farmer information mandi market needs onion rate regarding sagar,SAGAR,4,Market Information,MADHYA PRADESH
3903,['USE IMIDACHLOPRID 17.8% SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE'],onion plant protaction tell,ALWAR,9,	Plant Protection	,RAJASTHAN
3904,['CONTACT AHO OF YOUR BLOCK'],nhm regarding,BALANGIR,2,Government Schemes,ODISHA
3905,['DUSTING OF METHYL PARATHIAN 2% 25 KG PER HA'],control cut tell wheat worm,AJMER,1,	Plant Protection	,RAJASTHAN
3906,['SPRAY OF MENCOZEB 2 GM/LITREE'],control mustard rot sclerotinia tell,ALWAR,1,	Plant Protection	,RAJASTHAN
3907,"['Recommended for to control sucking pest in crop spray imedachlorprid 5-7 ml at 15 liter of water.', 'Recommended for to control sucking pest in garlic crop spray fipronil@ 25 ml at 15 liter of water.']",control crop farmer garlic information know pest sucking wants,SAGAR,9,	Plant Protection	,MADHYA PRADESH
3908,"[""Dear in your's damoh mandi the rate of gram crop is 4860 Rs. minimum/quintal 5460 Rs. maximum/quintal 5325 Rs. average/quintal.\r\n19/04/2017\t289\tKanta\t4860\t5460\t5325""]",farmer gram indore know madhya pradesh rate wants,DAMOH,4,Market Information,MADHYA PRADESH
3909,"['JODHPUR (GRAIN)  TARAMIRA 3150 RS/Q.', 'JODHPUR MANDI RATE OF(GRAIN) TARAMIRA 3365RS/QT', 'JAIPUR (GRAIN)  TARAMIRA 4050 RS/QU.']",mandi rate taramira tell,BARMER,3,Market Information,RAJASTHAN
3910,['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER + MENCOJEB 2GM PAR LITAR WATER'],controle lemon tell yellowing,BARMER,8,	Plant Protection	,RAJASTHAN
3911,"['recommended for to control sucking pest  Spray any one of the following insecticides in the initial stage of infestation\r\ndimethoate 30 EC 500 ml/ha \r\nmethyl demeton 25 EC@ 500 ml/ha.\r\nimedachlorprid 5-7 ml at 15 liter of water.\r\nThiamethoxam 25 % WG \t4.0  ml/10 lit.', 'recommended for to control sucking pest in onion crop spray imedachlorprid 5-7 ml at 15 liter of water.', 'recommended for to control sucking pest in garlic crop spray fipronil@ 25 ml at 15 liter of water.', 'recommended for to control sucking pest  Spray any one of the following insecticides in the initial stage of infestation \r\n\xe2\x80\xa2\tdimethoate 30 EC 500 ml/ha \r\n\xe2\x80\xa2\tmethyl demeton 25 EC@ 500 ml/ha.', 'recommended for to control sucking pest  Spray  \r\nimedaclorpid @5-7 ml/pump']",control crop farmer information know onion pest sucking want,SAGAR,3,	Plant Protection	,MADHYA PRADESH
3912,['imidacloroprid 17.8 sl 1 ml /par liter water sprey'],control onion tell trips,ALWAR,5,	Plant Protection	,RAJASTHAN
3913,['USE IMIDACHLOPRID 17.8% SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE'],control cotto tell tyermite,ALWAR,6,	Plant Protection	,RAJASTHAN
3914,['Recommended for Spray of Troijofos 40 EC 1000 Ml. / hac.'],control crop farmer information insect masur need regarding,SAGAR,1,	Plant Protection	,MADHYA PRADESH
3915,['Recommended for foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.'],farmer gram growth increase information needs regarding,SAGAR,1,Fertilizer Use and Availability,MADHYA PRADESH
3916,"['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER', 'USE CARBOFURAN 3% G 40 GM PER PLANT IN ROOT ZONE']",chillies control insect tell,ALWAR,7,	Plant Protection	,RAJASTHAN
3917,"['Recommended for know about govt. schemes of horticulture please contact rural horticulture extension officer.', 'papaya with two year drip- With papaya biennial drip - unit cost (in Rs.) 200000, grant (in percentage) 40, first year 60000 rupees, second year 20000 rupees, farmer contribution 120000 rupees']",farmer govt horticulture information needs regarding schemes,SAGAR,1,Government Schemes,MADHYA PRADESH
3918,"['Latest Market Prices Available Damoh, Madhya Pradesh (15/05/2017)\r\n Javera\tBengal Gram(Gram)\t10.8\tTonnes\tNR\tDesi (Whole)\tFAQ\t4800\t5000\t4900\tRs/Quintal']",05 15 2017 available bengal crop damoh farmer gram information know latest madhya market market pradesh prices rate wants,DAMOH,5,Market Information,MADHYA PRADESH
3919,['Spray Copper Oxychloride-2.5gm  or Mancozeb-2gm per litre of water and repeat after 8-days'],drying leaf onion purple whitish,CUTTACK,1,	Plant Protection	,ODISHA
3920,['SPRAY OF COPPER OXICHLORIDE 45 GM + STREPTOCYCLIN 1.5 GM PER 15 LITER WATER'],jivanu jowar rog tell,AJMER,8,Weather,RAJASTHAN
3921,['SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER'],control cut tell worm,BANSWARA,1,	Plant Protection	,RAJASTHAN
3922,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],anar control droping flower tell,ALWAR,3,	Plant Protection	,RAJASTHAN
3923,"['Recommended for to know information about complant for electricity please contact to cm help line 181', 'recommended for to know information about complant for electricity please contact to cm help line 181', 'Recommended for to know information about complant for electricity please contact to cm help line 1818103632624', '?Recommended for to know information about complant for electricity please contact to cm help line 181']",complant electricity farmer information know want,DAMOH,8,Government Schemes,MADHYA PRADESH
3924,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],citruc control droping flower tell,ALWAR,3,Nutrient Management,RAJASTHAN
3925,['Recommended for Spray Dimethoate 30%EC (Rogar) 30  ml per pump.'],chillie control crop fly white,DAMOH,8,	Plant Protection	,MADHYA PRADESH
3926,['Recommended for Spray  imidachloprid 17.8%SL 5 to 7 ml per pump.'],control crop farmer know melon pest sucking want water,SAGAR,3,	Plant Protection	,MADHYA PRADESH
3927,['SPRAY OF COC 3 GM/LITRE'],beck control di lemon tell,AJMER,6,	Plant Protection	,RAJASTHAN
3928,['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER'],beetle control cucumber pumpkin red tell,ALWAR,4,	Plant Protection	,RAJASTHAN
3929,['????? ??? ????? ? ???? ?? ?????? ?? ??? ??????????? ???????? 3 ???? ????? 10 ??????? ???? ?? ????? ?? ??????? ?????'],barley control pest tell x,ALWAR,6,	Plant Protection	,RAJASTHAN
3930,['recommended for drenching with thyaophinet mithyal 70 % wp 15-20 gram/pump.'],control coriander crop farmer know rot fore want,SAGAR,1,	Plant Protection	,MADHYA PRADESH
3931,"['VARIETY OF MOONG =SML 668,GM-4, RMG 492, RMG 268, RMG 344']",meabout moong tell variety,BARMER,6,Varieties,RAJASTHAN
3932,"['State- MP, Date 24/04/2017, mandi - damoh, crop -gram  , Minimum Price- 5015 Rs/Quintal , Maximum Price- 5600 Rs/Quintal  Modal Price- 5220 Rs/Quintal.']",damoh farmer gram know mandi mandi rate want,DAMOH,4,Market Information,MADHYA PRADESH
3933,['Recommended  for  market information of gram for  minimum-5100maximum-5400average-5300Rs/Quintal'],bengal farmer gram information information javera know market wants,DAMOH,4,Market Information,MADHYA PRADESH
